clip_id,source,model,profile,sweep_kind,prompt_id,pattern,register,timing_variant,technique,technique_keyswitch,dynamic_label,cc1_initial,cc1_final,branch_offset_s,seed,base_seed,noise_group,replicate,w_tech,w_cc,reference_midi,single_pitch,note_onset_s,midi_path,audio_path,status
long_high_long-rep02__t-sustain__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,sustain,36,f,96,96,,3205758975103824288,20260826,long_high_long-rep02,2,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep02__t-sustain__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep02__t-sustain__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep03__t-sustain__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,sustain,36,f,96,96,,8260705675710319947,20260826,long_high_long-rep03,3,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep03__t-sustain__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep03__t-sustain__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep04__t-sustain__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,sustain,36,f,96,96,,1479089932150990109,20260826,long_high_long-rep04,4,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep04__t-sustain__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep04__t-sustain__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep01__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,p,32,32,,783129699631193259,20260826,long_high_long-rep01,1,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep01__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep01__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep02__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,p,32,32,,3205758975103824288,20260826,long_high_long-rep02,2,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep02__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep02__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep03__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,p,32,32,,8260705675710319947,20260826,long_high_long-rep03,3,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep03__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep03__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep04__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,p,32,32,,1479089932150990109,20260826,long_high_long-rep04,4,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep04__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep04__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep01__t-staccato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,mf,64,64,,783129699631193259,20260826,long_high_long-rep01,1,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep01__t-staccato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep01__t-staccato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep02__t-staccato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,mf,64,64,,3205758975103824288,20260826,long_high_long-rep02,2,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep02__t-staccato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep02__t-staccato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep03__t-staccato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,mf,64,64,,8260705675710319947,20260826,long_high_long-rep03,3,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep03__t-staccato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep03__t-staccato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep04__t-staccato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,mf,64,64,,1479089932150990109,20260826,long_high_long-rep04,4,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep04__t-staccato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep04__t-staccato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep01__t-staccato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,f,96,96,,783129699631193259,20260826,long_high_long-rep01,1,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep01__t-staccato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep01__t-staccato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep02__t-staccato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,f,96,96,,3205758975103824288,20260826,long_high_long-rep02,2,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep02__t-staccato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep02__t-staccato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep03__t-staccato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,f,96,96,,8260705675710319947,20260826,long_high_long-rep03,3,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep03__t-staccato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep03__t-staccato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep04__t-staccato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,staccato,40,f,96,96,,1479089932150990109,20260826,long_high_long-rep04,4,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep04__t-staccato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep04__t-staccato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep01__t-pizzicato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,p,32,32,,783129699631193259,20260826,long_high_long-rep01,1,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep01__t-pizzicato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep01__t-pizzicato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep02__t-pizzicato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,p,32,32,,3205758975103824288,20260826,long_high_long-rep02,2,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep02__t-pizzicato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep02__t-pizzicato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep03__t-pizzicato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,p,32,32,,8260705675710319947,20260826,long_high_long-rep03,3,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep03__t-pizzicato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep03__t-pizzicato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep04__t-pizzicato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,p,32,32,,1479089932150990109,20260826,long_high_long-rep04,4,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep04__t-pizzicato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep04__t-pizzicato__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep01__t-pizzicato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,mf,64,64,,783129699631193259,20260826,long_high_long-rep01,1,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep01__t-pizzicato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep01__t-pizzicato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep02__t-pizzicato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,mf,64,64,,3205758975103824288,20260826,long_high_long-rep02,2,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep02__t-pizzicato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep02__t-pizzicato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep03__t-pizzicato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,mf,64,64,,8260705675710319947,20260826,long_high_long-rep03,3,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep03__t-pizzicato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep03__t-pizzicato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep04__t-pizzicato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,mf,64,64,,1479089932150990109,20260826,long_high_long-rep04,4,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep04__t-pizzicato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep04__t-pizzicato__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep01__t-pizzicato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,f,96,96,,783129699631193259,20260826,long_high_long-rep01,1,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep01__t-pizzicato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep01__t-pizzicato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep02__t-pizzicato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,f,96,96,,3205758975103824288,20260826,long_high_long-rep02,2,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep02__t-pizzicato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep02__t-pizzicato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep03__t-pizzicato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,f,96,96,,8260705675710319947,20260826,long_high_long-rep03,3,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep03__t-pizzicato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep03__t-pizzicato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep04__t-pizzicato__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,pizzicato,43,f,96,96,,1479089932150990109,20260826,long_high_long-rep04,4,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep04__t-pizzicato__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep04__t-pizzicato__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep01__t-legato_slur__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,p,32,32,,783129699631193259,20260826,long_high_long-rep01,1,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep01__t-legato_slur__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep01__t-legato_slur__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep02__t-legato_slur__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,p,32,32,,3205758975103824288,20260826,long_high_long-rep02,2,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep02__t-legato_slur__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep02__t-legato_slur__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep03__t-legato_slur__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,p,32,32,,8260705675710319947,20260826,long_high_long-rep03,3,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep03__t-legato_slur__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep03__t-legato_slur__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep04__t-legato_slur__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,p,32,32,,1479089932150990109,20260826,long_high_long-rep04,4,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep04__t-legato_slur__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep04__t-legato_slur__d-p__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep01__t-legato_slur__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,mf,64,64,,783129699631193259,20260826,long_high_long-rep01,1,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep01__t-legato_slur__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep01__t-legato_slur__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep02__t-legato_slur__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,mf,64,64,,3205758975103824288,20260826,long_high_long-rep02,2,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep02__t-legato_slur__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep02__t-legato_slur__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep03__t-legato_slur__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,mf,64,64,,8260705675710319947,20260826,long_high_long-rep03,3,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep03__t-legato_slur__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep03__t-legato_slur__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep04__t-legato_slur__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,mf,64,64,,1479089932150990109,20260826,long_high_long-rep04,4,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep04__t-legato_slur__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep04__t-legato_slur__d-mf__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep01__t-legato_slur__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,f,96,96,,783129699631193259,20260826,long_high_long-rep01,1,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep01__t-legato_slur__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep01__t-legato_slur__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep02__t-legato_slur__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,f,96,96,,3205758975103824288,20260826,long_high_long-rep02,2,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep02__t-legato_slur__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep02__t-legato_slur__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep03__t-legato_slur__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,f,96,96,,8260705675710319947,20260826,long_high_long-rep03,3,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep03__t-legato_slur__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep03__t-legato_slur__d-f__s-guidance__w-wt05_wc10.wav,planned
long_high_long-rep04__t-legato_slur__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,long_high_long,long,high,long,legato_slur,49,f,96,96,,1479089932150990109,20260826,long_high_long-rep04,4,0.5,1.0,81.0,True,0.75,data/midi/sweep/guidance/wt05_wc10/long_high_long-rep04__t-legato_slur__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/long_high_long-rep04__t-legato_slur__d-f__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep01__t-sustain__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,p,32,32,,8916637503902644932,20260826,scale_mid_short-rep01,1,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep01__t-sustain__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep01__t-sustain__d-p__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep02__t-sustain__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,p,32,32,,5772993731483631798,20260826,scale_mid_short-rep02,2,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep02__t-sustain__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep02__t-sustain__d-p__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep03__t-sustain__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,p,32,32,,2703252911251744809,20260826,scale_mid_short-rep03,3,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep03__t-sustain__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep03__t-sustain__d-p__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep04__t-sustain__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,p,32,32,,2671567752565276374,20260826,scale_mid_short-rep04,4,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep04__t-sustain__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep04__t-sustain__d-p__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep01__t-sustain__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,mf,64,64,,8916637503902644932,20260826,scale_mid_short-rep01,1,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep01__t-sustain__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep01__t-sustain__d-mf__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep02__t-sustain__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,mf,64,64,,5772993731483631798,20260826,scale_mid_short-rep02,2,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep02__t-sustain__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep02__t-sustain__d-mf__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep03__t-sustain__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,mf,64,64,,2703252911251744809,20260826,scale_mid_short-rep03,3,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep03__t-sustain__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep03__t-sustain__d-mf__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep04__t-sustain__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,mf,64,64,,2671567752565276374,20260826,scale_mid_short-rep04,4,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep04__t-sustain__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep04__t-sustain__d-mf__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep01__t-sustain__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,f,96,96,,8916637503902644932,20260826,scale_mid_short-rep01,1,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep01__t-sustain__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep01__t-sustain__d-f__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep02__t-sustain__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,f,96,96,,5772993731483631798,20260826,scale_mid_short-rep02,2,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep02__t-sustain__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep02__t-sustain__d-f__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep03__t-sustain__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,f,96,96,,2703252911251744809,20260826,scale_mid_short-rep03,3,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep03__t-sustain__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep03__t-sustain__d-f__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep04__t-sustain__d-f__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,sustain,36,f,96,96,,2671567752565276374,20260826,scale_mid_short-rep04,4,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep04__t-sustain__d-f__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep04__t-sustain__d-f__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep01__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,staccato,40,p,32,32,,8916637503902644932,20260826,scale_mid_short-rep01,1,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep01__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep01__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep02__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,staccato,40,p,32,32,,5772993731483631798,20260826,scale_mid_short-rep02,2,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep02__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep02__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep03__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,staccato,40,p,32,32,,2703252911251744809,20260826,scale_mid_short-rep03,3,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep03__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep03__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep04__t-staccato__d-p__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,staccato,40,p,32,32,,2671567752565276374,20260826,scale_mid_short-rep04,4,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep04__t-staccato__d-p__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep04__t-staccato__d-p__s-guidance__w-wt05_wc10.wav,planned
scale_mid_short-rep01__t-staccato__d-mf__s-guidance__w-wt05_wc10,model,VIOLET,sweep_guidance,guidance,scale_mid_short,scale,mid,short,staccato,40,mf,64,64,,8916637503902644932,20260826,scale_mid_short-rep01,1,0.5,1.0,,False,0.75,data/midi/sweep/guidance/wt05_wc10/scale_mid_short-rep01__t-staccato__d-mf__s-guidance__w-wt05_wc10.mid,data/model_audio/sweep/scale_mid_short-rep01__t-staccato__d-mf__s-guidance__w-wt05_wc10.wav,planned
